07-05-2025 22:43:18.182 [main] [-] INFO  user-service-o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
07-05-2025 22:43:18.256 [main] [-] INFO  user-service-o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn - Finished Spring Data repository scanning in 69 ms. Found 1 JPA repository interface.
07-05-2025 22:43:18.278 [main] [-] INFO  user-service-o.s.b.t.a.j.TestDatabaseAutoConfiguration$EmbeddedDataSourceBeanFactoryPostProcessor.process - Replacing 'dataSource' DataSource bean with embedded version
07-05-2025 22:43:18.339 [main] [-] INFO  user-service-o.s.j.d.e.EmbeddedDatabaseFactory.initDatabase - Starting embedded database: url='jdbc:h2:mem:cdd12c8c-fc61-4a2a-95ff-be92b829690f;DB_CLOSE_DELAY=-1;DB_CLOSE_ON_EXIT=false', username='sa'
07-05-2025 22:43:18.444 [main] [-] INFO  user-service-o.h.jpa.internal.util.LogHelper.logPersistenceUnitInformation - HHH000204: Processing PersistenceUnitInfo [name: default]
07-05-2025 22:43:18.468 [main] [-] INFO  user-service-org.hibernate.Version.logVersion - HHH000412: Hibernate ORM core version 6.5.3.Final
07-05-2025 22:43:18.481 [main] [-] INFO  user-service-o.h.c.i.RegionFactoryInitiator.initiateService - HHH000026: Second-level cache disabled
07-05-2025 22:43:18.592 [main] [-] INFO  user-service-o.s.o.j.p.SpringPersistenceUnitInfo.addTransformer - No LoadTimeWeaver setup: ignoring JPA class transformer
07-05-2025 22:43:18.950 [main] [-] INFO  user-service-o.h.e.t.j.p.i.JtaPlatformInitiator.initiateService - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
07-05-2025 22:43:18.973 [main] [-] INFO  user-service-o.s.o.j.LocalContainerEntityManagerFactoryBean.buildNativeEntityManagerFactory - Initialized JPA EntityManagerFactory for persistence unit 'default'
07-05-2025 22:43:19.117 [main] [-] INFO  user-service-c.l.c.u.r.UserRepositoryTest.logStarted - Started UserRepositoryTest in 1.344 seconds (process running for 1.805)
07-05-2025 22:43:19.486 [SpringApplicationShutdownHook] [-] INFO  user-service-o.s.o.j.LocalContainerEntityManagerFactoryBean.destroy - Closing JPA EntityManagerFactory for persistence unit 'default'
07-05-2025 22:44:12.708 [background-preinit] [-] INFO  user-service-o.h.validator.internal.util.Version.<clinit> - HV000001: Hibernate Validator 8.0.1.Final
07-05-2025 22:44:12.745 [main] [-] INFO  user-service-c.l.c.u.r.UserRepositoryTest.logStarting - Starting UserRepositoryTest using Java 22.0.2 with PID 42749 (started by anshulbharadwaj in /Users/anshulbharadwaj/SpringBootProject/linkedin/user-service)
07-05-2025 22:44:12.746 [main] [-] INFO  user-service-c.l.c.u.r.UserRepositoryTest.logStartupProfileInfo - The following 1 profile is active: "dev"
07-05-2025 22:44:12.903 [main] [-] INFO  user-service-o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
07-05-2025 22:44:12.968 [main] [-] INFO  user-service-o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn - Finished Spring Data repository scanning in 61 ms. Found 1 JPA repository interface.
07-05-2025 22:44:12.989 [main] [-] INFO  user-service-o.s.b.t.a.j.TestDatabaseAutoConfiguration$EmbeddedDataSourceBeanFactoryPostProcessor.process - Replacing 'dataSource' DataSource bean with embedded version
07-05-2025 22:44:13.047 [main] [-] INFO  user-service-o.s.j.d.e.EmbeddedDatabaseFactory.initDatabase - Starting embedded database: url='jdbc:h2:mem:6215bbf2-0531-4e87-88b4-939e9ad1ea38;DB_CLOSE_DELAY=-1;DB_CLOSE_ON_EXIT=false', username='sa'
07-05-2025 22:44:13.153 [main] [-] INFO  user-service-o.h.jpa.internal.util.LogHelper.logPersistenceUnitInformation - HHH000204: Processing PersistenceUnitInfo [name: default]
07-05-2025 22:44:13.176 [main] [-] INFO  user-service-org.hibernate.Version.logVersion - HHH000412: Hibernate ORM core version 6.5.3.Final
07-05-2025 22:44:13.191 [main] [-] INFO  user-service-o.h.c.i.RegionFactoryInitiator.initiateService - HHH000026: Second-level cache disabled
07-05-2025 22:44:13.304 [main] [-] INFO  user-service-o.s.o.j.p.SpringPersistenceUnitInfo.addTransformer - No LoadTimeWeaver setup: ignoring JPA class transformer
07-05-2025 22:44:13.664 [main] [-] INFO  user-service-o.h.e.t.j.p.i.JtaPlatformInitiator.initiateService - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
07-05-2025 22:44:13.686 [main] [-] INFO  user-service-o.s.o.j.LocalContainerEntityManagerFactoryBean.buildNativeEntityManagerFactory - Initialized JPA EntityManagerFactory for persistence unit 'default'
07-05-2025 22:44:13.829 [main] [-] INFO  user-service-c.l.c.u.r.UserRepositoryTest.logStarted - Started UserRepositoryTest in 1.339 seconds (process running for 1.819)
07-05-2025 22:44:14.162 [SpringApplicationShutdownHook] [-] INFO  user-service-o.s.o.j.LocalContainerEntityManagerFactoryBean.destroy - Closing JPA EntityManagerFactory for persistence unit 'default'
07-05-2025 22:45:07.161 [background-preinit] [-] INFO  user-service-o.h.validator.internal.util.Version.<clinit> - HV000001: Hibernate Validator 8.0.1.Final
07-05-2025 22:45:07.197 [main] [-] INFO  user-service-c.l.c.u.r.UserRepositoryTest.logStarting - Starting UserRepositoryTest using Java 22.0.2 with PID 43034 (started by anshulbharadwaj in /Users/anshulbharadwaj/SpringBootProject/linkedin/user-service)
07-05-2025 22:45:07.197 [main] [-] INFO  user-service-c.l.c.u.r.UserRepositoryTest.logStartupProfileInfo - The following 1 profile is active: "dev"
07-05-2025 22:45:07.362 [main] [-] INFO  user-service-o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
07-05-2025 22:45:07.434 [main] [-] INFO  user-service-o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn - Finished Spring Data repository scanning in 68 ms. Found 1 JPA repository interface.
07-05-2025 22:45:07.456 [main] [-] INFO  user-service-o.s.b.t.a.j.TestDatabaseAutoConfiguration$EmbeddedDataSourceBeanFactoryPostProcessor.process - Replacing 'dataSource' DataSource bean with embedded version
07-05-2025 22:45:07.519 [main] [-] INFO  user-service-o.s.j.d.e.EmbeddedDatabaseFactory.initDatabase - Starting embedded database: url='jdbc:h2:mem:ab627282-c1f3-42e6-a1af-29f348885e62;DB_CLOSE_DELAY=-1;DB_CLOSE_ON_EXIT=false', username='sa'
07-05-2025 22:45:07.626 [main] [-] INFO  user-service-o.h.jpa.internal.util.LogHelper.logPersistenceUnitInformation - HHH000204: Processing PersistenceUnitInfo [name: default]
07-05-2025 22:45:07.649 [main] [-] INFO  user-service-org.hibernate.Version.logVersion - HHH000412: Hibernate ORM core version 6.5.3.Final
07-05-2025 22:45:07.661 [main] [-] INFO  user-service-o.h.c.i.RegionFactoryInitiator.initiateService - HHH000026: Second-level cache disabled
07-05-2025 22:45:07.777 [main] [-] INFO  user-service-o.s.o.j.p.SpringPersistenceUnitInfo.addTransformer - No LoadTimeWeaver setup: ignoring JPA class transformer
07-05-2025 22:45:08.126 [main] [-] INFO  user-service-o.h.e.t.j.p.i.JtaPlatformInitiator.initiateService - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
07-05-2025 22:45:08.147 [main] [-] INFO  user-service-o.s.o.j.LocalContainerEntityManagerFactoryBean.buildNativeEntityManagerFactory - Initialized JPA EntityManagerFactory for persistence unit 'default'
07-05-2025 22:45:08.289 [main] [-] INFO  user-service-c.l.c.u.r.UserRepositoryTest.logStarted - Started UserRepositoryTest in 1.33 seconds (process running for 1.818)
07-05-2025 22:45:08.577 [SpringApplicationShutdownHook] [-] INFO  user-service-o.s.o.j.LocalContainerEntityManagerFactoryBean.destroy - Closing JPA EntityManagerFactory for persistence unit 'default'
07-05-2025 22:46:56.406 [background-preinit] [-] INFO  user-service-o.h.validator.internal.util.Version.<clinit> - HV000001: Hibernate Validator 8.0.1.Final
07-05-2025 22:46:56.442 [main] [-] INFO  user-service-c.l.c.u.r.UserRepositoryTest.logStarting - Starting UserRepositoryTest using Java 22.0.2 with PID 43604 (started by anshulbharadwaj in /Users/anshulbharadwaj/SpringBootProject/linkedin/user-service)
07-05-2025 22:46:56.443 [main] [-] INFO  user-service-c.l.c.u.r.UserRepositoryTest.logStartupProfileInfo - The following 1 profile is active: "dev"
07-05-2025 22:46:56.594 [main] [-] INFO  user-service-o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
07-05-2025 22:46:56.664 [main] [-] INFO  user-service-o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn - Finished Spring Data repository scanning in 66 ms. Found 1 JPA repository interface.
07-05-2025 22:46:56.686 [main] [-] INFO  user-service-o.s.b.t.a.j.TestDatabaseAutoConfiguration$EmbeddedDataSourceBeanFactoryPostProcessor.process - Replacing 'dataSource' DataSource bean with embedded version
07-05-2025 22:46:56.748 [main] [-] INFO  user-service-o.s.j.d.e.EmbeddedDatabaseFactory.initDatabase - Starting embedded database: url='jdbc:h2:mem:09cf76b3-b15a-487d-aba9-ee4610cfc812;DB_CLOSE_DELAY=-1;DB_CLOSE_ON_EXIT=false', username='sa'
07-05-2025 22:46:56.852 [main] [-] INFO  user-service-o.h.jpa.internal.util.LogHelper.logPersistenceUnitInformation - HHH000204: Processing PersistenceUnitInfo [name: default]
07-05-2025 22:46:56.875 [main] [-] INFO  user-service-org.hibernate.Version.logVersion - HHH000412: Hibernate ORM core version 6.5.3.Final
07-05-2025 22:46:56.887 [main] [-] INFO  user-service-o.h.c.i.RegionFactoryInitiator.initiateService - HHH000026: Second-level cache disabled
07-05-2025 22:46:56.999 [main] [-] INFO  user-service-o.s.o.j.p.SpringPersistenceUnitInfo.addTransformer - No LoadTimeWeaver setup: ignoring JPA class transformer
07-05-2025 22:46:57.358 [main] [-] INFO  user-service-o.h.e.t.j.p.i.JtaPlatformInitiator.initiateService - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
07-05-2025 22:46:57.380 [main] [-] INFO  user-service-o.s.o.j.LocalContainerEntityManagerFactoryBean.buildNativeEntityManagerFactory - Initialized JPA EntityManagerFactory for persistence unit 'default'
07-05-2025 22:46:57.524 [main] [-] INFO  user-service-c.l.c.u.r.UserRepositoryTest.logStarted - Started UserRepositoryTest in 1.367 seconds (process running for 1.832)
07-05-2025 22:46:57.875 [SpringApplicationShutdownHook] [-] INFO  user-service-o.s.o.j.LocalContainerEntityManagerFactoryBean.destroy - Closing JPA EntityManagerFactory for persistence unit 'default'
07-05-2025 22:47:37.326 [background-preinit] [-] INFO  user-service-o.h.validator.internal.util.Version.<clinit> - HV000001: Hibernate Validator 8.0.1.Final
07-05-2025 22:47:37.373 [main] [-] INFO  user-service-c.l.c.u.r.UserRepositoryTest.logStarting - Starting UserRepositoryTest using Java 22.0.2 with PID 43828 (started by anshulbharadwaj in /Users/anshulbharadwaj/SpringBootProject/linkedin/user-service)
07-05-2025 22:47:37.374 [main] [-] INFO  user-service-c.l.c.u.r.UserRepositoryTest.logStartupProfileInfo - The following 1 profile is active: "dev"
